date,city_name,daily_avg_temp,daily_max_temp,daily_min_temp,daily_avg_wind_speed,daily_max_wind_speed,daily_min_wind_speed,wind_direction,avg_relative_humidity,avg_dew_point,avg_pressure,precipitation_sum,rainy_hour_sum
2019-05-11,Adana,18.97,24.0,15.0,5.58,16.6,0.0,40.0,69.29,12.65,1014.95,0.0,0
2019-05-12,Adana,21.66,30.0,13.5,6.59,20.5,0.0,0.0,54.0,10.35,1013.86,0.0,0
2019-05-13,Adana,24.6,34.0,14.0,7.21,14.8,0.0,10.0,43.83,9.13,1012.3,0.0,0
2019-05-14,Adana,27.52,37.0,15.5,7.43,14.8,0.0,30.0,43.46,11.72,1010.45,0.0,0
2019-05-15,Adana,30.32,38.1,19.6,9.03,14.8,3.6,40.0,38.54,12.67,1008.25,0.0,0
2019-05-16,Adana,28.88,39.0,21.0,8.92,20.5,0.0,50.0,47.62,14.61,1005.97,0.0,0
2019-05-17,Adana,26.49,35.0,18.1,8.56,25.9,0.0,210.0,59.25,16.5,1004.85,0.0,0
2019-05-18,Adana,22.12,26.0,17.0,11.26,24.1,0.0,200.0,69.29,15.8,1009.05,0.0,0
2019-05-19,Adana,21.93,27.0,16.0,8.16,22.3,0.0,200.0,68.96,15.42,1011.71,0.0,0
2019-05-20,Adana,22.88,28.0,18.0,7.14,18.4,0.0,0.0,71.88,17.22,1014.23,0.0,0
2019-05-21,Adana,23.88,30.5,18.2,6.56,18.4,0.0,200.0,71.75,18.0,1014.71,0.0,0
2019-05-22,Adana,25.28,32.5,20.0,8.05,20.5,1.8,210.0,69.08,18.41,1014.55,0.0,0
2019-05-23,Adana,26.42,32.2,20.2,5.55,11.2,0.0,0.0,62.0,17.63,1010.8,0.0,0
2019-05-24,Adana,27.98,36.0,21.0,7.82,16.6,0.0,0.0,48.96,14.42,1006.12,0.0,0
2019-05-25,Adana,22.92,26.1,19.0,11.8,22.3,0.0,200.0,70.04,16.9,1011.9,0.0,0
2019-05-26,Adana,22.46,29.0,16.5,7.26,20.5,0.0,0.0,70.67,16.39,1013.57,0.0,0
2019-05-27,Adana,25.84,35.0,17.1,6.72,20.5,0.0,0.0,54.58,14.24,1011.71,0.0,0
2019-05-28,Adana,28.32,37.0,17.0,8.13,22.3,1.8,240.0,45.33,13.92,1010.88,0.0,0
2019-05-29,Adana,28.83,37.0,21.0,8.09,18.4,0.0,50.0,54.71,17.5,1011.02,0.0,0
2019-05-30,Adana,29.03,38.0,22.0,8.65,18.4,0.0,60.0,52.04,17.02,1010.2,0.0,0
2019-05-31,Adana,26.42,32.0,22.0,5.91,14.8,0.0,0.0,70.96,20.33,1008.88,0.0,0
2019-06-01,Adana,26.98,35.5,18.7,6.38,20.5,0.0,0.0,67.04,19.24,1009.44,0.0,0
2019-06-02,Adana,26.07,32.0,20.7,7.35,20.5,0.0,0.0,72.54,20.26,1012.38,0.0,0
2019-06-03,Adana,26.19,31.0,21.1,6.98,22.3,0.0,0.0,74.75,20.97,1012.61,0.0,0
2019-06-04,Adana,26.38,30.0,23.0,9.62,18.4,1.8,140.0,74.29,21.26,1011.29,0.0,0
2019-06-05,Adana,26.07,32.0,21.0,10.22,18.4,0.0,180.0,67.42,19.19,1011.76,0.0,0
2019-06-06,Adana,25.84,32.6,20.0,8.44,18.4,0.0,180.0,67.58,18.6,1012.35,0.0,0
2019-06-07,Adana,25.32,32.0,18.0,8.7,20.5,0.0,210.0,60.25,15.7,1012.09,0.0,0
2019-06-08,Adana,27.41,36.2,17.0,6.48,18.4,0.0,0.0,51.21,15.05,1009.28,0.0,0
2019-06-09,Adana,26.95,36.0,23.0,9.15,22.3,0.0,120.0,66.92,19.37,1007.28,0.0,0
2019-06-10,Adana,26.2,32.0,23.0,9.94,24.1,0.0,200.0,75.12,21.22,1006.86,0.0,0
2019-06-11,Adana,25.35,30.0,21.0,9.96,24.1,0.0,130.0,71.04,19.4,1008.76,0.0,0
